,Review
246,"9/10 | I stuck with this for nearly 40 minutes because of good reviews. Found it tedious and slow. Acting good, but storyline awful. No suspense, trite and predictable. Amazed RT gave this 99%, I would rate it one star one a scale of one to five. Usually I agree with the RT consensus Seemed like a film school project.
13 out of 23 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
247,"9/10 | This movie probably fools everyone with the opening scene, after which you'll be guessing what the real genre, horror, thriller, drama etc. is. After that beginning, the atmosphere changes back to getting to know the characters. Without too much development, it keeps a perfect pace, to keep you wondering what's next.

A likable but not overacting or bland character, in a new environment that will keep everyone still guessing, will end up in a situation in which the viewer will rapidly realize what ""the sunken place"" is, without losing all credibility.

One creepy party and one revelation later, the viewer will finally know what genre, and what kind of movie we are watching. A movie that reinvents creepy movies, with the only small flaw being that after the twist, things go (too) fast. Everything else, acting, characters, surroundings, works perfect!!
13 out of 23 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
248,"9/10 | I decided to see this thriller movie when I saw it got 8.1 on IMDb.com. It is about a black man being chased into a strange family living in a spooky house in countryside. What makes the film interesting is that the suspense is maintained till the end. The plot is very well written and realistic. The film is regular paced without any boring scenes and it follows a logical sequence. All the conversations are related to the subject. The Daniel Kaluuya is a great actor. I did not know him before. But I can tell he is very promising and we should definitely see him again in other great movies. It goes without saying that Jordan Peele is very successful both as a writer and as a director. Overall performance of the cast is very good. Congratulations to them all.

This is how a movie is shot!!!
13 out of 23 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
249,"9/10 | Well...

My first review, this is. So please, don't mind, if it's not good enough!

So yeah... The movie was quite nice. I watched it before knocking myself out.

I really think the acting could have been a bit better? But, this is something I noticed personally, you can disagree.

One thing though, I was really falling for Allison! :P Not sure if this is something I should include in my review.

And yeah, the ending was satisfying, for sure, for me! :)

Even though I loved the movie, but I still think there was something ""Missing"", that's the reason I'm giving it 9 out of 10. But, usually, I give all the movies a perfect 10 score, and don't write a review, either."
250,"10/10 | This was a very well rounded film. When it was first released, I noticed that Rotten Tomatoes gave this movie a 100% rating, which immediately got my attention. Not only was the concept brilliant, but it brought what many movies do not: humor, suspense, emotional attachment to the characters, and surprises. I feel like that's hard to accomplish all into one film, but this one achieved it. I would highly recommend this movie. I really enjoyed it and so did all of my friends.
13 out of 23 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
251,"8/10 | Spoiler free

The thriller is a dying genre. What we have today is ACTION- thrillers. Ones that have car chases and big shootouts. Jordan Peele has proved Thriller is not completely dead. H uses excellent cinematography to build suspense and fright. The whole movie looks beautiful. Next is the acting. Daniel Kaluuya is perfect in this role. All of the family is eery and fits like a glove into the movie. Allison Williams is particularly convincing. The one problem I have is the building of suspense is a tad slow and the first two acts only increase in quality as it progresses. The third act is stunning and held my breath. It left smart references to the days of slavery and terms used my slave owners in the south. The humor is sharp and dark at most times(the Dahmer rant anyone?). Please go and see films like this and not ""Ghost in the Shell"", ""Smurfs"", or any film that treats it's audience like money
13 out of 23 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
252,9/10 | 
253,"7/10 | This is not a film for White People. I say this because I sat in a theatre with a diverse group of people and noticed the white people in the audience seemed offended by the film. Even though I am black, I believe this film was very well done. The casting director did an amazing job with the cast, all the actors were very believable in their roles. This is truly a unique cinematic experience, I've spent a great deal of time watching films from different parts of the world and its rare for me to say that I've never seen a film like this before. This is one of those films that makes white people look bad, but to be fair it does a great job in capturing the experience of a black man surrounded by ""too many white people"". For instance, I've almost always been the only black person at my job, and I've had my boss ask me about certain rappers simply for the fact that I'm black. During the summer olympics, my boss literally asked me what it was like to see black people win gold medals for America. My boss is not a racist, but often makes ignorant comments just like this film depicts.

Kudos to Jordan Peele!!! I hope to see more from him.
52 out of 114 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
254,"10/10 | Magnificent epic psychological horror... it is interesting, its innovative man they brought some new stuff into the movie industry I recommend you watch this fantastic movie
22 out of 43 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
255,"7/10 | A psychological horror from the perspective of a black man, who faces his greatest fear when he go to meet his girlfriend's parents. But what happens next is unexpected.
22 out of 43 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
256,9/10 | 
257,"9/10 | 'Get Out' is billed as a horror film, but - no spoilers in this review! - it's really more of a mystery/tense thriller. It's shot really well and looks great (nice effort from first-time director Peele), with some smart use of the Alabama location and a good score. The premise is purposefully cryptic: ""African-American man visits his Caucasian girlfriend's mysterious family estate"". Chris (Kaluuya) is meeting Rose (Williams) parents - Missy (Keener) & Dean (Whitford) - for the first time, and they welcome him with open arms, even if the servants seem off.

It's not all about race, but it is a key aspect of the film and handled quite well. The two leads easily carry the film, both having some great scenes. However, the best bits are probably whenever Chris' friend Rod (Howery) is on screen, being hilarious and boisterous, even though often by phone. The humour and some slow bits do well to make the surprises seem even more shocking.

The twist isn't as big as 'Cabin in the Woods' or 'The Sixth Sense', but the final 20min is certainly one of the better endings to a thriller/horror film you'll see for a while! Bit of a slow build up in parts, but a very exciting finish and it's all over in 100min."
258,"7/10 | Best Picture Nominee:

I've seen ""Get Out"" twice now. Once with a group of friends way after it released on Blu-Ray and the second time in theaters during the Oscars 2017 Best Picture Festival and both times I have loved this film.

""Get Out"" strikes this perfect balance of being a comedy and a horror film, while simultaneously being social commentary about racism.

The political message works really well here, but it's not the only thing going for it, which can often times be the case for films that push a strong political agenda.

The entire cast did so well, that I was scared for Chris and genuinely creeped out by the entire Armitage family. The setup is near perfect, building up the appropriate amount of suspense that we needed for the later half of the film, with the ending keeping me on the edge of my seat literally until the very last scene.

I'm glad that ""Get Out"" won Best Screenplay and if it had won Best Picture, I wouldn't have complained at all. If you haven't seen it yet, go give it a watch!"
259,"8/10 | In an unnamed U.S. city, Chris (Daniel Kaluuya) is an African-American photographer. His white girlfriend Rose (Allison Williams), whom he has been seeing for about four months, asks him to join her to meet her family for the first time. At the country's family estate, Chris notices some odd events which lead him to think he could be in danger.

Director/writer Jordan Peele has created a superb thriller that easily reminds one of the brilliant ""Stepford Wives"" (1975). The tension slowly builds with the viewer identifying with Chris. The strange events seem harmless at first but there are too many coincidences to dismiss. Once the pieces come together, it's easy to see why the film was given its title.

""Get Out"" is not without its comical moments especially stupid comments from well-meaning ""good, white liberals"" which peak at a massive garden-party-from-hell. As a modern psychological horror-thriller with an unique perspective on racism, it's easy to see why ""Get Out"" has earned so much recognition during the current awards season. It does borrow heavily from ""The Stepford Wives"" but clearly adds its own special, creative spin on the ""people here sure are weird"" atmosphere. - dbamateurcritic"
260,"7/10 | I am not a fan of horror genre. I don't enjoy being scared. And I am so glad it didn't stop me from seeing Get Out. It's not the kind of horror that makes you afraid of the dark, or of showers, or whatever innocent inanimate objects. The horror is in the meaning. The movie takes common, casual racism and what-ifs it to a whole other level. Plausibility of the horrific things that happen or lack thereof (that can be an undoing of a movie like this for me) is irrelevant here. It's the symbolism that matters. And this symbolism is very subtle, never in your face. The film delivers a message, yet never appears to be trying to say something.

The lead and supporting actors are all great, but I want to give special kudos to Marcus Henderson (Walter), Betty Gabriel (Georgina), and Laketh Stanfeld (Andre Logan King). They had the hardest jobs and they were fantastic. The story flows smoothly. There is never a false moment that could throw you out of the movie's hypnotic grip. I thought Chris's mother's death was a bit overexploited, but that is such a small complaint, I wouldn't even count it as one. The film is nothing short of shockingly brilliant."
261,"7/10 | Daniel Kaluuya gives a subtle and relatable performance along with a fantastic supporting group of actors and actresses. One of the best ""horror"" movies I can remember.
18 out of 34 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
262,"8/10 | I have read many criticisms that this film is a simple film, and I do not agree with these comments. Critics made under the name of racism were beautiful. Tension and comedy together.
18 out of 34 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
263,8/10 | 
264,"8/10 | This film manages to encapsulate quite a few themes. We have here a psychological thriller/horror which has themes on race and standing.

The film begins with our lead (a young black man) who is to visit the white family of his well to do girlfriend. As you are to find out, not all is at it seems.

I don't wish to say too much more on the story as it will easily give too much away. The film can be quite derivative, and as you watch it, there are various films you can clearly see which influenced it.

However, that doesn't take away from the gist of what is here. There are racial themes that will make you ponder on it all way after you've watched it, which is what this is all about. It make it interesting, but it doesn't shove any political agendas down your throat.

The acting is great, with some recognisable cult film actors present. Special mention must go to LilRel Howery who provides some comedy and tension relief in an otherwise very dark but often darkly humorous movie.

I enjoyed it despite the uncomfortable nature of it. Worth a try, and a good entry in the horror genre for this year."
265,"9/10 | An unheralded cash cow in its domestic revenue and also a succès d'estime, USA black comedian Jordan Peele's directorial debut GET OUT rides on the coattail of the racial powder keg in the current USA soil, conjures up a well-conceived conspiracy theory married with an aroused scenario taking the leaf from the time-tested suburbia genre book, a close cousin is Ira Levin's THE STEPFORD WIFES, and enlivens its central story with robust horror tropes pulsating in a bracing beat.

Our virile hero is Chris Washington (Kaluuya), a black photographer who is going to meet his white girlfriend Rose Armitage's (Williams) family for the first time. What Chris encounters is not the hostile racism usually presides within uncouth hillbillies or religious-poisoned happy clappies, instead, in this close-knit WASP community, what lurks around is something much more sinister and beyond one's wildest imagination. The overt clue is the aberrant behaviors of the black servants living with the Armitages: the housekeeper Georgina (Gabriel) and groundskeeper Walter (Henderson). At first glance, Peele seems to dangle viewers with a more conventional reference of slavery, but correlating with the film's unsettling prologue of abducting a black man Andrew Hayworth (Stanfield) in the same neighborhood, a sober mind suggests that we cannot take the situation for granted, certainly, something is wrong with the black people on the lot, they are not themselves, but the voodoo in the mix hits more on the mark of deep-rooted illusion of immortality than the ostensible white supremacy, there is a nuanced overtone even eulogizing black race's vitality as the perfect human specimen, meanwhile the main trope vouchsafes what lies beneath is the turpitude of extreme selfishness which deprives others of their identity (brain) for one's own sake, a metaphor of power-abusing from those privileged few, which is part and parcel of the film's runaway success, viewers cannot help but paralleling it with the current political affairs in the Trump era - life can be a sick joke.

Artistically speaking, Peele rounds up a coherent (albeit improbable) story arc within its suburbia milieu, an estate is quietly ensconced with quaint Americana, a retro luster contradicts the young couple's modernist urbanity. From that symbolic deer-in-the-headlight accident to the para-psychic hypnosis, to a superbly and literally devised sunken place (evoking the murky other-worldliness in Jonathan Glazer's UNDER THE SKIN 2013), until the mandatory but still engrossing bailing-out killing spree, GET OUT treads circumspectly through the familiar ground without overdosing in the wantonness of its cock and bull story.

Credits should fairly given to a capable cast, Daniel Kaluuya makes for a straight-up hero with gaping intensity, and Allison Williams capitalizes in Rose's about-face veracity to a bone-chilling effect. LilRel Howery as Chris' best friend, a TSA officer, stands out as the comic foil and a mouthpiece of inappropriate one-liners, and an openly hearty Bradley Whitford, a beguilingly frosty Catherine Keener and a delirious Caleb Landry Jones, rounds out an unsettling dysfunctional family, last but not the least, Betty Gabriel, arguably leaves the most bizarre impression perfectly in line with the thematic out-of-body creepiness.

For all its hype and buzz, GET OUT benefits greatly from its timing and present-day context, plus a genuinely appealing wheeze of identity-swapping. A miracle-maker borne out of an above-average commodity that no one should begrudge for its success, because it excels as a trenchant social critique in spite of its genre setting, which is dishearteningly wanting in most wide-opening theatrical staples, especially at a dejected time like this."
266,"8/10 | Get Out is one of the best horror movies of this century. He is very creative, that is the business. He does not follow the formulas of these new horror films, he manages to be impeccable in this matter. Jordan Pelee, a likely marijuana user, because to write a story of that caliber has to smoke something, it's the head of that movie. He is very original in every way. The actors are very well, Daniel Kaluuya with only 29 years of breaking up on paper. The movie is going to suck you, but it's not that big, it's small. For you who did not watch will be surprised.
25 out of 50 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
267,"9/10 | I have to admit that I only watched this because I came across it by flicking through a list of films after a slow night were nothing was on TV.

But to my utter surprise, the film had me gripped and this resulted in me wanting to jump into the film and help the guy. Instantly, I felt like I was part of the film and loved the characters diverse, strange, freakish, demeanour. Coupled with the brilliant acting skills that made you believe the whole thing could actually happen.

The comedic timing was great and I would love to say more about the acting skills of one of the female characters, but this would only give things away and that isn't my intention.

But bravo to all involved and the lead actors were outstanding.

Loved the film, great surprise watch that was well worth it..

Would I watch it again? Yes I would."
268,"9/10 | The movie was emotional and heart felt from the outset. Romantic themes are present throughout showing how love can be wrecked by tragedy. The music builds tension well and the characters are distinctive and unique.

Control is a key theme throughout which gets transferred regularly. This keeps things engaging and shows how easy it is for sides to change. The plot is anything but heart felt and is certainly sinister enough to warrant the horror genre. All parts seem played well by the cast and the movie doesn't scrimp on effects or acting/ surrounding scene quality.

Perhaps it's appeal is how real it seems both emotionally and through strong acting . scenes eliminate the need for gimmicks and gremlins.
12 out of 21 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
269,"8/10 | In retrospect - Perhaps the best way to experience this film is to read nothing, including genre classifications. It is extremely well written, acted and directed and is unlike so many movies out there - new clothes for an old body. This film is unusual in so many respects - from the symbolic scenes and gestures, and the music choices to the way it unfolds. After watching this film, I felt like I'd read a very satisfying book. More than most films I've seen in recent years, I really wanted to watch it again after having a fuller understanding of everything it contains. Sure, there were some 'plot twists' that I saw coming right from early into it, however these didn't diminish my enjoyment of seeing it all unfold.

Thankfully, I did come here and read some of the ""Spoiler Alert"" Trivia. It revealed a few things that I would have missed. Obviously this is a film worth talking about with others, seeing again, rethinking, etc. On the other hand, I felt the name was very poorly chosen. Right from the first time I saw it advertised, I just about overlooked it, as the name, combined with the genre, suggested that it wasn't probably the kind of film that would interest me. I'm so glad that I decided to check it out. I suspect different people will have very different reactions to it. It touches on some serious points, strikes unexpected nerves, and has some very unpredictable scenes.

Hard to believe that this is a first time director.

A very strong piece of work, with great contributions from most departments: (preproduction, production and post production)

UNFORGETTABLE!"
270,"8/10 | Once i saw initial trailer of the movie and i thought i had actually seen the entire movie. The plot of the movie had been so exposed in the trailer i didn't bother watching the movie for 7 months since it premiered. I would clearly rate the suspense as 7 out of 10, character portrayal of Chris Washington 9 out 10 and the rest of the cast 8 out of 10. Otherwise i liked it.
12 out of 21 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
271,"8/10 | I am at a loss for words after watching this. I heard very good things about ""Get Out"", but even those were understatements.

This is the kind of movie that you can watch hundreds of times and continue to find new connections and subtle clues. Not a single scene in the movie is wasted, and unique to this movie, I finally feel like my time as the audience was valued.

'Low budget horror movie' is no longer a second name for a terrible movie. I want to congratulate Jordan Peele and all involved on this beautiful work of art, I hope to see many more of this quality!
12 out of 21 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
272,"8/10 | Here in Portugal, Get Out was released later so I actually watched it at home ... twice. Yes, a movie like this needs a second watch, a more focused look at the details and a more concentrated mind to find all the clues to the expected twist in any genre film like this one. Well, I'm happy to say that Get Out is right up there in the contenders' list for the best movie of 2017 so far!

I never was a big fan of horror movies, but as time goes by I keep enjoying them more and more (maybe before I just watched the pretty bad ones). I didn't know the cast, but I did know Jordan Peele ... However, not as a director. My God, how great is he?! Excellent directing skills throughout the whole runtime: amazing camera-work (some cool long takes), efficient jump-scares with the adequate loud and brief background sounds, but his major achievement is definitely the screenplay. Thought-provoking, disturbing and it handles racism and any preconceptions in a way that, by the end, floored me. Great concept, executed seamlessly.

The unknown cast (to me, at least) is just an awesome surprise. Everyone shines in this brilliant movie and elevate it to a super captivating story that already has a fantastic mystery and intrigue surrounding it. Daniel Kaluuya is unbelievably amazing, all of the actors portraying the Armitage's family and housekeepers are equally spectacular and LilRel Howery (Rod Williams) is amazing as the comic relief guy.

The tone switches a lot throughout the film. Peele goes from comedy to horror, from drama to thriller in an instant, but it's so well- directed that its fluidity is near perfection. Also, the editing is flawless to my knowledge and the way he depicted and explored every preconception and racist stereotype is really brilliant.

A movie definitely worth watching, at least, twice. It has a huge replay value and I already see it as a horror classic.

Does it have flaws? Unfortunately, it does ... In the smallest details, but it does. Watching a second time I couldn't help to notice that some scenes are just weird, with no real meaning behind it. Rose's backstory is my main and only issue with the screenplay, but I really can't get more in-depth than this unless I spoil it for you, which I won't. I can just say that there's a plot point that I still struggle to accept/understand.

There are also some exposition scenes that could have been handled differently and the pacing dragged a little bit in the second act, but it didn't affect me that much since the writing is so great that it almost passed by without me really noticing.

Get Out is probably the most underrated movie in Portugal so far and I'm thrilled that I was able to catch it and watch it twice. Jordan Peele proves that his directing skills are something extraordinary, his screenplay is pure brilliance and his cast is unquestionably incredible, starting on the protagonist, Daniel Kaluuya, to LilRel Howery, the man behind the comedy bits in the film. A very important and thought-provoking movie with social preconceptions on other races explored to the tiniest detail, that only fails to deliver a precise backstory to Rose and it has some really minor issues with its second act's pacing and exposition scenes."
273,"8/10 | This has been the one film that has come out this year that I missed in the cinema but I have now see get out and I really enjoyed this film. The premise of the film sees a young black man go and meet his white girlfriend's family, he seems to notice that something weird might be going on. Daniel kaluuya is a new actor to me and he plays the lead in this film and he is fantastic in this film. You are rooting for his character so much throughout this film as you are really watching this film through his eyes. He is very likable in the film that makes him a great character. Allison Williams is his girlfriend in this film and she is good in this film, they have very good chemistry together and you are behind there relationship succeeding. Lilrel Howery plays his friend in this film and he is hilarious in this film, his dialogue is great throughout the whole film and is really funny in the film. The entire cast does a great job with the roles they are given and all the characters are interesting to watch. The story is pretty fascinating as you see this guy try and get used to his new surroundings while trying to work out was is actually wrong. However, even though entertaining I felt the end of this film to be a bit rushed and I could have done with an extra 15 or 20 minutes of details. The script is great, the blend of humour and drama is really well handled and makes this more unique then expected. The style of the film has so much great tension that truly sucks you in to follow and try and work out what is going on. But I wasn't a huge fan of some of the more trippy off the walls scenes that took me out of the serious nature of this film. Overall this is a great film with so much great social commentary and should definitely be seen."
274,"9/10 | A movie that truly keep you on the edge of your seat. I can't remember the last time a thriller movie got me emotionally exhausted , even the comedy scenes were much needed in this movie , especially with very intense non violent scenes, the conversations alone were pretty intense. Unlike most mystery movies the ending is not disappointing nor over the top. Saying anything else will probably ruin the movie.
12 out of 21 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
275,"8/10 | Get Out is the directorial debut from comic Jordan Peele and tells the story of Chris, an African American man meeting his white girlfriend's parents for the first time at their secluded home in the woods. With all the praise surrounding Get Out, I tried to go in with an open mind not letting the hype overwhelm for what could be an ""O.K."" film. However after seeing it, the praise its well deserved. This is a meticulous, well-crafted film, that offers both frights and moments of laughter. I was thoroughly impressed by how well made this film was, the score and cinematography is both haunting and dreamlike, giving the viewer an unsettling experience. The story in Get Out, is well realized and the trailer doesn't do enough justice, this isn't a white vs. black film, but rather a social commentary on marginalization, that uses the current events in our world as a springboard to get its ideas across. There were themes/metaphors throughout the film that I didn't realize were connected until the movie was over, this is far more than your average scary movie. Though you can treat it like a good ole' popcorn flick, the film has enough depth to keep the most sharp-eyed viewer thinking afterwards.

With that aside, Get Out is an almost perfect example of a horror/comedy mix, the use of LilRel Howery as the comic relief was excellent, his moments were scattered throughout the film but they never felt out of place and he was actually genuinely funny. This film felt like an old episode of goosebumps or a live action version of the board game ""Clue"", due to the mystery the protagonist faces. As he is discovering what is going so is the audience and though I was able to piece together what was happening early on, I was still enthralled with what was going on, due to the excellent writing and performances. Most of the actors and actresses in this film were unknown to me but all of them played their roles convincingly well, particularly Caleb Landry Jones, who had a riveting scene that takes place at a dinner table which really got under my skin.

Overall this is a well crafted film that had me on the edge of seat, Jordan Peele proves that he is not just a funny guy but should be taken seriously as writer and director. I thoroughly enjoyed my time with Get Out and do highly recommend it. I see myself re-watching this film quite a few times, especially around the Halloween season, as it just has a fall vibe to it. This really is one of my favourite movies I've seen so far this year, so for that reason, I'm giving Get Out an 8.5/10."
276,"8/10 | Several things to like about this one. 1. How it approached a sensitive subject was both directly honest and at times unexpectedly (by viewer, but of course by design) funny. 2. Actors well chosen and their performances almost too real to the point of weird- scary. You just don't know what secretly lurks behind those smiles. 3. You know something is not quite right and the writer/director did a nice job of building into ""how-not-right-it-was"". 4. Rod our TSA agent, and friend to Chris, our lead protagonist, was a highlight bonus, offering a humorous perspective (a role where usually the confidant ends up being either clueless, incompetent, or dead) . Check out his end-of-film worldly advices (sp) to Chris in special features. 5. I preferred the ending that our director chose vs. the alternate ending as it was consistent with Chris's intelligence and personality.
12 out of 21 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
277,"8/10 | Get Out follows a young black man as he goes to visit his white girlfriend's parents. From there, weirder and weirder things begin to take place.

To start, the acting is pretty solid. Daniel Kaluuya as the leading character paints himself as something of the modern 20-something- year-old. He's relatable, he's mostly interesting, he's got his flaws and he's got his perks. And he's a photographer. Gotta appeal to the hipster crowd too. In all seriousness his character is very realistically played, but even more so when he needs to hit an emotional high note this guy nails it. Starring alongside him is Allison Williams whom I believe said that this was her first movie. Seeing her on screen that's not something you'd think. She's so subtle and so well played, even if she is a little dull from time to time. You can tell that's part of her character, that's what she's going for and it actually works really well. The performances of the two parents, Catherine Keener and Bradley Whitford, are great as well. I'm going to sound like a broken record here but again, subtlety, they got it. In a film of overwhelming mystery, the subtlety here plays a key role and works fantastically from start to finish.

But what are good actors without a good screenplay? The writing is quite good. While a few lines came off as forced or awkward, the vast majority of it works very well, and the way the story progresses is engaging and very mysterious. It never really hints at what the end goal may be, and yet it makes sense when it's finally revealed. There's no 'eureka!' moment when the twist is revealed, yet that may be the very reason it worked so well. Because once again, subtlety.

Probably the biggest star of this film is Jordan Peele, the director. It's hard to believe that this is the first time he's made a full length film. His ability to direct is fantastic. The way it's shot is that of a professional, and I look forward to seeing more of his filmmaking career in the near future.

Most horror movies feature generic music cues and sharp, loud sound effects to keep the viewer awake through it's entirely boring scare tactics, and while Get Out does use those same sound effects, they are woven into actual music that is quite good. And I get the feeling that the music was partially used to satire typical horror movies, considering how unique this one is compared to others. And while it may come off of as generic or lazy to 'cue the creepy music when creepy stuff happens', the music is still good and, upon a second watch, actually justified.

While I enjoyed Get Out for the most part both times I saw it, that's probably my biggest problem with it. The first time I saw it I didn't care at all. The build up seemed to be going nowhere, and it was all just so weird. However, when the twist ending rolled around I suddenly understood and enjoyed it much more. Upon a rewatch I was able to pick up on the things I missed, along with some unexpected comedic foreshadowing. And while some of the comedy did work, some of it didn't. Unlike the trailer made it seem, the movie is hardly a satire on modern horror, or even a comedy to begin with. It's very much a mystery, so don't go into it expecting to laugh.

Overall I really enjoyed Get Out. The acting, writing, and story are good, and the soundtrack is effectively used. It's a subtle mystery that hits more high notes than low ones. It's one that I can certainly see myself returning to time and time again to see and pick up on new things. In the end I'd definitely recommend it, but moreover, I'd recommend seeing it more than once."
278,8/10 | 
279,"8/10 | Get Out (2017):

Satirical Horror on most controversial issue of America.Jordan Peele,debutante director chose such sensitive and rare subject and moulded it into a great film which got great critical and commercial success (Which is completely rare for a horror film).I always look out for non typical horror films which has something new in it.So how is the movie?

Plot:

Chris (Daniel Kaluuya) and his girlfriend Rose (Uyir Piriyum Valiyai) go upstate to visit her parent's for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.

Plus Points:

1)Story Screenplay and Direction: Jordan Peele really deserves an applause for making such a dare attempt.Movies on racism issues are not new in Hollwyood but Jordan Peele achieved an unthinkable feat.Without using typical jump scares Peele utilizing a queasy atmosphere of dread and a terrifically choreographed escalation of suspense and crowd-pleasing thrills.

2)Cinematography: Toby Oliver's terrific cinematography successfully brought the necessary eerie feel to the movie.The Sunken Place,an area at which Chris goes in hypnotized phase is a stunning shot.

3)BGM: Newcomer Michael Abels's BGM is pitch perfect as it even gives a subtle hint of mocking other horror's background scores.

4)Performances: Daniel Kaluuya, who impresses with a charismatic performance that should ultimately be seen as his breakout leading role. Constantly making you question anything and everything that is going on are Allison Williams, Bradley Whitford, and Catherine Keener, who use their innate affability to make you question every move they make. Deserving of special attention, though, is Lil Rel Howery, who plays Chris' best friend and contact in the outside world and steals every single scene he's in.

So,Get Out is a much needed refreshing breeze for a new age of horror film.Most innovative horror since It Follows.

My Rating 7.75/10"
280,"8/10 | I recently watched this movie again with my girlfriend who hasn't seen it and I have to retract my original opinion. I think I was in a bad mood when I first saw it in theatres and blasted it, but now seeing it for the second time it's a very original intense thriller turned horror by the end. My only big knock on this movie is that within the first 25 mins or so I already had figured out what was happening, not to the extent that it goes to, but it was predictable. It's worth a watch.
12 out of 21 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
281,"10/10 | This movie is unexpected and unpredictable - think Twighlight Zone, Alfred Hitchcock, My Mother the Serial Killer, Stepford Wives, The Lottery - put them all in a blender with great actors and spooky music and it comes close to describing this film. Jordan Peele slices through political correctness like a neurosurgeon. You end up hating the characters you liked and liking the TSA! Nothing ends up the way you expect. Heading in one direction, you think you have it figured out and all of a sudden, you take a proverbial left turn off a cliff (with a stupid brother playing banjo) and things are not what they seem. Pacing, timing cinematography, lighting, music all combine to keep things tight and focused. Funny moments but this isn't a comedy. You will leave the movie theater thinking more deeply and seeing more clearly and wanting to see the movie again! (But you may never drink a cup of tea again!)
12 out of 21 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
282,8/10 | 
283,9/10 | 
284,8/10 | 
285,"8/10 | I was fortunate enough to watch this without watching any of the trailers or having any prior knowledge of it beforehand. It was a thrilling ride! However I would say that the trailer retrospectively gives too much away. It is very clever and I love how it drip feeds you tiny bits of information. Dare I say, one of my favourite movies of all time!
12 out of 21 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
286,"9/10 | A terrific blend of horror & dark comedy that interweaves its ingeniously layered narrative with timely social commentary to deliver a nail-biting experience that's accomplished on all scales, Get Out is a smart, subversive & sardonic delight that's neither overt nor covert, and offers a cinematic ride so effective, thrilling & entertaining that the fact that it is actually a directorial debut makes it all the more commendable.
12 out of 21 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
